DOEID,MONEYPY,HOUSEHOLDER_RACE,SCALEE,UATYP10,DIVISION,
100665,15,2,1,U,West South Central,
100666,13,1,0,U,West South Central,
100667,8,1,0,U,New England,
100668,13,1,0,R,East North Central,
100669,10,1,0,U,Mountain,
100670,13,1,0,C,East North Central,
100671,14,1,0,U,Pacific,
100672,13,1,0,U,Pacific,
100673,12,1,0,U,East South Central,
100674,13,1,3,U,Mountain,
100675,15,1,0,R,West South Central,
100676,12,4,0,U,West North Central,
100677,6,2,2,U,Middle Atlantic,
100678,14,1,0,U,West North Central,
100679,11,1,0,U,South Atlantic,
100680,15,1,0,U,South Atlantic,
100681,13,1,0,U,Pacific,
100682,13,1,0,C,West South Central,
100683,16,1,0,R,West South Central,
100684,16,1,0,U,East South Central,
100685,5,2,2,R,South Atlantic,
100686,12,1,0,R,Pacific,
100687,11,1,0,U,Mountain,
100688,7,1,0,U,West South Central,
100689,14,1,2,U,Pacific,
100690,15,2,0,U,Middle Atlantic,
100691,15,1,0,C,Mountain,
100692,15,1,0,U,West North Central,
100693,16,1,0,U,South Atlantic,
100694,15,1,0,U,West South Central,
100695,16,1,0,U,South Atlantic,
100696,11,1,0,U,Pacific,
100697,13,1,0,U,East North Central,
100698,16,1,0,U,Mountain,
100699,14,1,0,U,New England,
100700,16,1,0,U,East North Central,
100701,16,4,0,R,New England,
100702,15,1,0,U,Mountain,
100703,11,3,0,R,Pacific,
100704,16,1,0,U,New England,
100705,16,1,0,U,South Atlantic,
100706,15,1,0,U,East North Central,
100707,14,4,0,U,New England,
100708,1,2,2,U,East North Central,
100709,7,1,0,R,West North Central,
100710,12,1,0,U,East North Central,
100711,13,1,0,U,East North Central,
100712,14,1,0,R,Middle Atlantic,
100713,14,4,0,U,West North Central,
100714,13,2,0,U,Middle Atlantic,
100715,11,1,0,R,East North Central,
100716,15,1,0,R,Middle Atlantic,
100717,13,1,0,U,Mountain,
100718,14,1,0,R,South Atlantic,
100719,14,2,0,U,Middle Atlantic,
100720,16,1,0,U,Pacific,
100721,13,1,0,U,West South Central,
100722,6,1,3,R,West South Central,
100723,16,1,0,R,South Atlantic,
100724,16,1,0,U,South Atlantic,
100725,8,1,0,R,East North Central,
100726,15,1,0,U,New England,
100727,16,1,0,U,New England,
100728,10,4,3,U,Pacific,
100729,12,1,0,U,South Atlantic,
100730,11,1,0,U,Middle Atlantic,
100731,16,1,0,U,East North Central,
100732,13,1,0,U,Middle Atlantic,
100733,6,1,0,R,New England,
100734,16,1,0,U,Mountain,
100735,15,1,0,R,West North Central,
100736,14,1,0,R,West North Central,
100737,7,1,0,C,Mountain,
100738,10,1,0,R,Pacific,
100739,12,1,0,R,Mountain,
100740,8,6,1,R,West South Central,
100741,16,1,0,U,Middle Atlantic,
100742,15,1,0,U,East South Central,
100743,13,1,0,C,Mountain,
100744,13,1,0,R,Pacific,
100745,14,1,0,R,East North Central,
100746,8,1,0,U,West South Central,
100747,13,1,0,C,New England,
100748,9,1,0,U,New England,
100749,16,1,0,U,Pacific,
100750,13,1,0,R,West North Central,
100751,13,2,0,U,West South Central,
100752,15,4,0,U,Middle Atlantic,
100753,15,1,0,R,South Atlantic,
100754,13,6,0,U,Pacific,
100755,6,2,0,U,South Atlantic,
100756,16,1,0,C,Mountain,
100757,15,1,0,U,East North Central,
100758,13,1,0,U,West North Central,
100759,11,1,3,R,East South Central,
100760,14,1,2,U,Pacific,
100761,16,1,0,C,Middle Atlantic,
100762,7,1,0,U,West North Central,
100763,11,6,2,U,Middle Atlantic,
100764,12,1,0,U,New England,
100765,14,1,0,U,Middle Atlantic,
100766,9,1,0,U,Mountain,
100767,12,1,0,U,Pacific,
100768,8,1,0,C,West South Central,
100769,8,1,0,C,West North Central,
100770,9,1,0,C,East North Central,
100771,14,1,0,U,Pacific,
100772,11,1,0,R,Middle Atlantic,
100773,15,1,0,R,West South Central,
100774,13,1,0,R,West North Central,
100775,16,1,0,U,West South Central,
100776,11,1,2,U,New England,
100777,13,1,0,R,East South Central,
100778,12,1,0,U,West North Central,
100779,14,1,0,R,Mountain,
100780,2,1,3,R,South Atlantic,
100781,11,1,0,R,Mountain,
100782,13,1,0,C,Pacific,
100783,14,1,0,R,East South Central,
100784,14,1,0,U,South Atlantic,
100785,15,1,0,C,Mountain,
100786,8,1,0,C,East South Central,
100787,10,1,0,C,Pacific,
100788,9,2,0,U,South Atlantic,
100789,12,1,0,R,Mountain,
100790,3,1,0,U,West North Central,
